post_date,engagement,close_value,volume,open_value,high_value,low_value,prev_close,return,price_class,len_modify_body,comp_clean,pos_clean,neg_clean,neu_clean
2019-07-20,7,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,34,-0.7184,0.235,0.588,0.176
2019-07-20,10,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,174,0.9099,0.439,0.224,0.336
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,56,-0.2732,0.406,0.411,0.183
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,57,0.34,0.231,0.0,0.769
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,27,0.6124,0.5,0.0,0.5
2019-07-20,7,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,82,0.25,0.25,0.188,0.562
2019-07-20,3,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,58,0.6597,0.444,0.139,0.417
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,92,0.6486,0.399,0.247,0.353
2019-07-20,2,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,34,0.6124,0.5,0.0,0.5
2019-07-20,2,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,83,0.6124,0.448,0.31,0.241
2019-07-20,3,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,132,-0.8689,0.233,0.43,0.336
2019-07-20,14,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,41,0.0,0.0,0.0,1.0
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,11,0.0,0.0,0.0,1.0
2019-07-20,4,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,127,0.8689,0.353,0.0,0.647
2019-07-20,5,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,134,0.9894,0.767,0.097,0.136
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,56,-0.7184,0.0,0.5,0.5
2019-07-20,3,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,97,0.6124,0.235,0.0,0.765
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,96,0.9776,0.742,0.0,0.258
2019-07-20,8,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,57,-0.25,0.263,0.368,0.368
2019-07-20,2,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,9,0.0,0.0,0.0,1.0
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,38,-0.875,0.0,0.692,0.308
2019-07-20,7,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,69,0.6486,0.398,0.0,0.602
2019-07-20,3,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,17,0.7003,0.853,0.0,0.147
2019-07-20,7,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,85,0.7184,0.333,0.0,0.667
2019-07-20,12,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,34,0.9313,0.928,0.0,0.072
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,35,0.9001,0.833,0.0,0.167
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,61,-0.4588,0.238,0.381,0.381
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,61,0.7184,0.357,0.0,0.643
2019-07-20,3,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,40,0.6124,0.444,0.0,0.556
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,42,-0.4588,0.391,0.522,0.087
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,35,0.6124,0.5,0.0,0.5
2019-07-20,2,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,151,-0.9571,0.084,0.497,0.419
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,25,-0.7184,0.0,0.556,0.444
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,18,0.0,0.0,0.0,1.0
2019-07-20,2,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,137,-0.9834,0.109,0.617,0.274
2019-07-20,35,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,80,-0.9741,0.089,0.726,0.185
2019-07-20,1,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,50,-0.25,0.267,0.333,0.4
2019-07-20,3,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,115,0.4404,0.19,0.1,0.711
2019-07-20,5,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,50,-0.4767,0.168,0.321,0.511
2019-07-21,6,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,41,0.0,0.0,0.0,1.0
2019-07-21,3,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,92,0.765,0.401,0.259,0.34
2019-07-21,3,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,84,0.9042,0.574,0.142,0.284
2019-07-21,2,136.62,48992360,140.22,140.67,136.45,136.62,0.0,1,83,0.0,0.0,0.0,1.0
